MMWR_Week,Week_Start,Week_End,ZIP_Code,ILI_Activity_Level,RECORD_ID,ZIP_Code_Location
18,04/26/2020,05/02/2020,60640,1,2020-18-60640,POINT (-87.662232 41.971888)
18,04/26/2020,05/02/2020,60639,10,2020-18-60639,POINT (-87.75531 41.920609)
18,04/26/2020,05/02/2020,60638,4,2020-18-60638,POINT (-87.771902 41.787032)
18,04/26/2020,05/02/2020,60637,7,2020-18-60637,POINT (-87.604053 41.780991)
18,04/26/2020,05/02/2020,60636,8,2020-18-60636,POINT (-87.668597 41.77599)
18,04/26/2020,05/02/2020,60634,9,2020-18-60634,POINT (-87.797373 41.944967)
18,04/26/2020,05/02/2020,60633,9,2020-18-60633,POINT (-87.556037 41.653147)
18,04/26/2020,05/02/2020,60632,10,2020-18-60632,POINT (-87.711251 41.810038)
18,04/26/2020,05/02/2020,60631,10,2020-18-60631,POINT (-87.813371 41.995019)
18,04/26/2020,05/02/2020,60630,10,2020-18-60630,POINT (-87.759611 41.971261)
18,04/26/2020,05/02/2020,60629,10,2020-18-60629,POINT (-87.711565 41.777061)
18,04/26/2020,05/02/2020,60628,10,2020-18-60628,POINT (-87.621537 41.694192)
18,04/26/2020,05/02/2020,60626,3,2020-18-60626,POINT (-87.669834 42.009469)
18,04/26/2020,05/02/2020,60625,7,2020-18-60625,POINT (-87.701816 41.971155)
18,04/26/2020,05/02/2020,60624,2,2020-18-60624,POINT (-87.722735 41.879417)
18,04/26/2020,05/02/2020,60623,10,2020-18-60623,POINT (-87.717446 41.850321)
18,04/26/2020,05/02/2020,60622,6,2020-18-60622,POINT (-87.681818 41.902762)
18,04/26/2020,05/02/2020,60621,5,2020-18-60621,POINT (-87.638812 41.776931)
18,04/26/2020,05/02/2020,60620,10,2020-18-60620,POINT (-87.651656 41.740873)
18,04/26/2020,05/02/2020,60619,10,2020-18-60619,POINT (-87.60569 41.744737)
18,04/26/2020,05/02/2020,60618,3,2020-18-60618,POINT (-87.703343 41.946699)
18,04/26/2020,05/02/2020,60617,10,2020-18-60617,POINT (-87.556897 41.721257)
18,04/26/2020,05/02/2020,60616,2,2020-18-60616,POINT (-87.629531 41.844869)
18,04/26/2020,05/02/2020,60615,7,2020-18-60615,POINT (-87.602725 41.801993)
18,04/26/2020,05/02/2020,60614,7,2020-18-60614,POINT (-87.652064 41.922605)
18,04/26/2020,05/02/2020,60613,10,2020-18-60613,POINT (-87.661343 41.953742)
18,04/26/2020,05/02/2020,60612,1,2020-18-60612,POINT (-87.687011 41.88004)
18,04/26/2020,05/02/2020,60611,6,2020-18-60611,POINT (-87.620291 41.894734)
18,04/26/2020,05/02/2020,60610,1,2020-18-60610,POINT (-87.63581 41.90455)
18,04/26/2020,05/02/2020,60609,10,2020-18-60609,POINT (-87.653382 41.812017)
18,04/26/2020,05/02/2020,60608,10,2020-18-60608,POINT (-87.670366 41.849879)
18,04/26/2020,05/02/2020,60607,5,2020-18-60607,POINT (-87.652727 41.876104)
18,04/26/2020,05/02/2020,60606,1,2020-18-60606,POINT (-87.63676 41.882634)
18,04/26/2020,05/02/2020,60605,2,2020-18-60605,POINT (-87.623449 41.867824)
18,04/26/2020,05/02/2020,60604,1,2020-18-60604,POINT (-87.629029 41.878153)
18,04/26/2020,05/02/2020,60603,1,2020-18-60603,POINT (-87.625473 41.880112)
18,04/26/2020,05/02/2020,60602,1,2020-18-60602,POINT (-87.628309 41.883136)
18,04/26/2020,05/02/2020,60601,1,2020-18-60601,POINT (-87.622844 41.886262)
17,04/19/2020,04/25/2020,60707,1,2020-17-60707,POINT (-87.808283 41.921777)
17,04/19/2020,04/25/2020,60666,1,2020-17-60666,POINT (-87.896371 41.979511)
17,04/19/2020,04/25/2020,60661,1,2020-17-60661,POINT (-87.644283 41.882786)
17,04/19/2020,04/25/2020,60660,10,2020-17-60660,POINT (-87.666362 41.991062)
17,04/19/2020,04/25/2020,60659,10,2020-17-60659,POINT (-87.703266 41.990803)
17,04/19/2020,04/25/2020,60657,8,2020-17-60657,POINT (-87.658216 41.939715)
17,04/19/2020,04/25/2020,60656,4,2020-17-60656,POINT (-87.817934 41.974566)
17,04/19/2020,04/25/2020,60655,10,2020-17-60655,POINT (-87.701434 41.696456)
17,04/19/2020,04/25/2020,60654,3,2020-17-60654,POINT (-87.636354 41.892485)
17,04/19/2020,04/25/2020,60653,9,2020-17-60653,POINT (-87.611244 41.819261)
17,04/19/2020,04/25/2020,60652,10,2020-17-60652,POINT (-87.714238 41.745398)
17,04/19/2020,04/25/2020,60651,6,2020-17-60651,POINT (-87.741017 41.901964)
17,04/19/2020,04/25/2020,60649,10,2020-17-60649,POINT (-87.571522 41.762202)
17,04/19/2020,04/25/2020,60647,10,2020-17-60647,POINT (-87.701101 41.921058)
17,04/19/2020,04/25/2020,60646,10,2020-17-60646,POINT (-87.761826 41.993931)
17,04/19/2020,04/25/2020,60645,9,2020-17-60645,POINT (-87.695049 42.008927)
17,04/19/2020,04/25/2020,60644,1,2020-17-60644,POINT (-87.756863 41.881113)
17,04/19/2020,04/25/2020,60643,10,2020-17-60643,POINT (-87.662381 41.700445)
17,04/19/2020,04/25/2020,60642,6,2020-17-60642,POINT (-87.657821 41.899935)
17,04/19/2020,04/25/2020,60641,10,2020-17-60641,POINT (-87.746791 41.946682)
17,04/19/2020,04/25/2020,60640,1,2020-17-60640,POINT (-87.662232 41.971888)
17,04/19/2020,04/25/2020,60639,10,2020-17-60639,POINT (-87.75531 41.920609)
17,04/19/2020,04/25/2020,60638,10,2020-17-60638,POINT (-87.771902 41.787032)
17,04/19/2020,04/25/2020,60637,5,2020-17-60637,POINT (-87.604053 41.780991)
17,04/19/2020,04/25/2020,60636,5,2020-17-60636,POINT (-87.668597 41.77599)
17,04/19/2020,04/25/2020,60634,10,2020-17-60634,POINT (-87.797373 41.944967)
17,04/19/2020,04/25/2020,60633,10,2020-17-60633,POINT (-87.556037 41.653147)
17,04/19/2020,04/25/2020,60632,10,2020-17-60632,POINT (-87.711251 41.810038)
17,04/19/2020,04/25/2020,60631,5,2020-17-60631,POINT (-87.813371 41.995019)
17,04/19/2020,04/25/2020,60630,3,2020-17-60630,POINT (-87.759611 41.971261)
17,04/19/2020,04/25/2020,60629,10,2020-17-60629,POINT (-87.711565 41.777061)
17,04/19/2020,04/25/2020,60628,10,2020-17-60628,POINT (-87.621537 41.694192)
17,04/19/2020,04/25/2020,60626,3,2020-17-60626,POINT (-87.669834 42.009469)
17,04/19/2020,04/25/2020,60625,10,2020-17-60625,POINT (-87.701816 41.971155)
17,04/19/2020,04/25/2020,60624,4,2020-17-60624,POINT (-87.722735 41.879417)
